resident_code,related_resident_code,relationship_type,relationship_status
R-0045,R-0047,parent,active
R-0047,R-0045,child,active
R-0043,R-0046,grandparent,active
R-0046,R-0043,grandchild,active
R-0043,R-0047,grandparent,active
R-0047,R-0043,grandchild,active
R-0046,R-0047,sibling,active
R-0047,R-0046,sibling,active
R-0048,R-0049,parent,active
R-0049,R-0048,child,active
R-0050,R-0051,spouse,active
R-0051,R-0050,spouse,active
R-0050,R-0052,parent,active
R-0052,R-0050,child,active
R-0051,R-0052,parent,active
R-0052,R-0051,child,active
R-0050,R-0053,guardian,active
R-0053,R-0050,dependant,active
R-0054,R-0055,spouse,active
R-0055,R-0054,spouse,active
R-0054,R-0056,parent,active
R-0056,R-0054,child,active
R-0055,R-0056,parent,active
R-0056,R-0055,child,active
R-0056,R-0057,parent,active
R-0057,R-0056,child,active
R-0056,R-0058,parent,active
R-0058,R-0056,child,active
R-0054,R-0057,grandparent,active
R-0057,R-0054,grandchild,active
R-0055,R-0057,grandparent,active
R-0057,R-0055,grandchild,active
R-0054,R-0058,grandparent,active
R-0058,R-0054,grandchild,active
R-0055,R-0058,grandparent,active
R-0058,R-0055,grandchild,active
R-0057,R-0058,sibling,active
R-0058,R-0057,sibling,active
R-0059,R-0060,sibling,active
R-0060,R-0059,sibling,active
R-0061,R-0062,spouse,active
R-0062,R-0061,spouse,active
R-0061,R-0063,parent,active
R-0063,R-0061,child,active
R-0062,R-0063,parent,active
R-0063,R-0062,child,active
R-0061,R-0064,parent,active
R-0064,R-0061,child,active
R-0062,R-0064,parent,active
R-0064,R-0062,child,active
R-0061,R-0065,parent,active
R-0065,R-0061,child,active
R-0062,R-0065,parent,active
R-0065,R-0062,child,active
R-0063,R-0064,sibling,active
R-0064,R-0063,sibling,active
R-0063,R-0065,sibling,active
R-0065,R-0063,sibling,active
R-0064,R-0065,sibling,active
R-0065,R-0064,sibling,active
R-0067,R-0068,spouse,active
R-0068,R-0067,spouse,active
R-0067,R-0069,parent,active
R-0069,R-0067,child,active
R-0068,R-0069,parent,active
R-0069,R-0068,child,active
R-0067,R-0070,parent,active
R-0070,R-0067,child,active
R-0068,R-0070,parent,active
R-0070,R-0068,child,active
R-0069,R-0070,sibling,active
R-0070,R-0069,sibling,active
